protein_id	tAI
ADM11523.1	0.5131042299175
ADM12066.1	0.474687429415393
ADM12066.1	0.474687429415393
ADM12464.1	0.481336461153946
ADM12464.1	0.481336461153946
AFM98291.1	0.507100542103635
AFM98834.1	0.472311564228428
AFM98834.1	0.472311564228428
AFM99238.1	0.483695830851208
AFN83006.1	0.504506370019315
AFN83552.1	0.47094870580511
AFN83552.1	0.47094870580511
AFN83948.1	0.481519816735455
AFR92685.1	0.246790969988924
AFR93082.1	0.28153005183298
AFR93370.1	0.252484543339526
AFR93613.2	0.41188593974363
AFR94980.2	0.221086194712927
AFR95103.1	0.252279599334168
AFR95731.1	0.246650858955621
AFR95732.1	0.336194033127879
AFR95879.1	0.335005916940483
AFR96241.1	0.246806257438157
AFR96881.2	0.270578836843356
AFR97531.1	0.370736392198544
AFR97684.1	0.302326441759594
AFR97939.1	0.362906447501484
AFR98312.2	0.327707148244839
AFR98480.1	0.272185497674449
AFR98729.2	0.236820563474677
AFR98729.2	0.236820563474677
AFR98795.2	0.306450859978495
AOW25766.1	0.437472690128994
AOW26154.1	0.415254512685045
AOW26458.1	0.432660044383641
AOW26474.1	0.477301722246203
AOW26771.1	0.351771048846554
AOW26771.1	0.351771048846554
AOW26788.1	0.381317555105407
AOW26788.1	0.381317555105407
AOW26827.1	0.374640379475769
AOW26894.1	0.447923819713604
AOW26991.1	0.405898704509758
AOW27359.1	0.464262676117621
AOW27583.1	0.446086469263493
AOW27901.1	0.387621824640609
AOW28301.1	0.410553776388825
AOW28403.1	0.406273056710924
AOW28582.1	0.393410973792725
AOW28877.1	0.481592741575614
AOW28934.1	0.412106473947571
AOW29117.1	0.451843177279945
AOW29496.1	0.366624795289406
AOW30136.1	0.343899630934091
AOW30608.1	0.365680799378897
AOW30608.1	0.365680799378897
AOW30868.1	0.464687284193156
AOW30984.1	0.443904730516135
AOW31297.1	0.301102112115807
CAA17807.4	0.455825495262989
CAA19018.2	0.439302807504043
CAA22202.1	0.431516641215623
CAA22827.1	0.540945888327886
CAA91967.3	0.465239716579759
CAA93694.1	0.414486136894215
CAB10154.2	0.440627900066828
CAB11656.2	0.434980427712703
CAB16359.1	0.411340661537573
CAB39367.2	0.466405374703508
CAB52730.1	0.504515337946418
CAB53412.2	0.395427796699059
CAB55288.3	0.442766803142885
CAB55770.1	0.436798468297501
CAD6498803.1	0.309827379270192
CAD6498850.1	0.31633661957336
CAD6499249.1	0.308430123252095
CAD6500213.1	0.315153178123558
CAD6500601.1	0.310206298475257
CAD6500656.1	0.309612673571709
CAD6501277.1	0.314149285310531
CAD6501811.1	0.303147000632169
CAD6502270.1	0.31103464499034
CAD6502915.1	0.310371030429058
CAD6503119.1	0.297118968054223
CAD6503264.1	0.310739812164255
CAD6503373.1	0.307358889010681
CAD6503645.1	0.317200040131599
CAD6503750.1	0.311269800714695
CAD6503765.1	0.311603947027482
CAD6504203.1	0.326523712269255
CAD6504238.1	0.301999618780298
CAD6506172.1	0.310283222713335
CAE54965.2	0.438172769247753
CAG77886.1	0.406949521305848
CAG78088.1	0.454006097905583
CAG78142.1	0.42059644692412
CAG78262.1	0.377483269233488
CAG78323.1	0.456833200228773
CAG79800.1	0.444752969886874
CAG79813.1	0.393456359650968
CAG79877.1	0.451627837126406
CAG80110.1	0.422194563218999
CAG80248.1	0.393245832929902
CAG80304.1	0.393164051670207
CAG80381.1	0.451656904512244
CAG80382.1	0.45891539151072
CAG80574.1	0.337020904376849
CAG80751.1	0.437002580978082
CAG80783.1	0.330249753189351
CAG81179.1	0.344719077780926
CAG81258.1	0.413152560855325
CAG81604.1	0.348828236578589
CAG81797.1	0.494394487811768
CAG81900.1	0.417843695650019
CAG82044.1	0.465181590670041
CAG82994.4	0.325868109588488
CAG83045.2	0.430606930659242
CAG83139.1	0.402934473094608
CAG83139.1	0.402934473094608
CAG83378.1	0.48472847484135
CAG83970.1	0.437666878127669
CAG84069.1	0.324733223926945
CAZ79212.1	0.155178128307907
CAZ79849.1	0.149408215073654
CAZ80733.1	0.153673647481326
CAZ80848.1	0.14318670429297
CAZ80930.1	0.140027358136822
CAZ81332.1	0.164417924197645
CAZ82118.1	0.127520520597265
CAZ82118.1	0.127520520597265
CAZ82204.1	0.141352675819964
CAZ82519.1	0.138950057102789
CAZ82578.1	0.138489292040726
CAZ83712.1	0.131025032106344
CAZ83822.1	0.144681416858482
CAZ84169.1	0.136681019084672
CAZ85345.1	0.134937085722264
CAZ85537.1	0.138821061452677
CAZ85537.1	0.138821061452677
CAZ86198.1	0.133353715091515
CEP06773.1	0.43298366033516
CEP07298.1	0.428917044155899
CEP07732.1	0.444502288935027
CEP07910.1	0.408152086544831
CEP08296.1	0.448661248119164
CEP08461.1	0.409403901388605
CEP08862.1	0.378032712553944
CEP08948.1	0.451841712847026
CEP09186.1	0.406582603267678
CEP09495.1	0.399061886234894
CEP09663.1	0.395158460412034
CEP10098.1	0.408561910122764
CEP10201.1	0.392926300418058
CEP10835.1	0.456871589147388
CEP12201.1	0.411571638634284
CEP13107.1	0.38670365440672
CEP13290.1	0.395207951139987
CEP13495.1	0.400452830198699
CEP14386.1	0.45082958686773
CEP14917.1	0.446478048353353
CEP15023.1	0.400400636732965
CEP15096.1	0.388081568910059
CEP15280.1	0.389846618386107
CEP15280.1	0.389846618386107
CEP15374.1	0.44368953473441
CEP15672.1	0.389354494169849
CEP15902.1	0.381067170346296
CEP16087.1	0.377731799991884
CEP16087.1	0.377731799991884
CEP16475.1	0.428408033050426
CEP16494.1	0.398769610292002
CEP16897.1	0.404363822072521
CEP17086.1	0.427712343073211
CEP18101.1	0.396359271484461
CEP18713.1	0.410644455808926
CEP18887.1	0.41427938066105
CEP19276.1	0.394704210105038
CEP20160.1	0.4283020404627
DAA06684.1	0.375247069794771
DAA06767.1	0.369769527361277
DAA07006.1	0.406188047734901
DAA07276.1	0.381478341527882
DAA07513.1	0.424381609723147
DAA07671.1	0.371406055855481
DAA08047.1	0.551085763943496
DAA08156.1	0.498739558159788
DAA08612.1	0.370489677793671
DAA09148.1	0.402448938499484
DAA09508.1	0.373761672332575
DAA09675.1	0.505658139158645
DAA09905.1	0.421451254902635
DAA09906.1	0.44848903412312
DAA11006.1	0.402901824410478
DAA11013.1	0.361548965082391
DAA11290.1	0.447796597504357
DAA11346.1	0.379581572549675
DAA11373.1	0.375582034520263
DAA11831.1	0.396603404937661
DAA11908.1	0.417844818844074
DAA12335.1	0.35164993392878
EAA27530.1	0.44900830139518
EAA27759.1	0.382656706989457
EAA28639.2	0.374921635229872
EAA28974.1	0.372139008537572
EAA29019.2	0.315298775301712
EAA29617.1	0.387149451803416
EAA30300.3	0.367225695567137
EAA30348.1	0.360383545524697
EAA31403.1	0.434743383645187
EAA31773.1	0.452836979414597
EAA31776.1	0.333632562522201
EAA32588.1	0.480758661499244
EAA33275.2	0.353892618765514
EAA34499.2	0.358245328516766
EAA34954.2	0.372241309578693
EAA35826.1	0.388341348395746
EAA36202.3	0.365856873059511
EAA57874.1	0.432370949177543
EAA57997.1	0.421445041344952
EAA58457.1	0.429905117812494
EAA58549.1	0.532840115883381
EAA59025.1	0.422481424878997
EAA59236.1	0.439439977450728
EAA59396.1	0.424157024594188
EAA59739.1	0.513576121058924
EAA60394.1	0.442190268466194
EAA60403.1	0.401656068685182
EAA60493.1	0.43044340691495
EAA61619.1	0.396594853189279
EAA61879.1	0.388612732839733
EAA61896.1	0.431700328729898
EAA62412.1	0.419305910496856
EAA62901.1	0.425898574015868
EAA62973.1	0.412425108513222
EAA63448.1	0.456714137914155
EAA64121.1	0.417488304997983
EAA64170.1	0.456830509021898
EAA64318.1	0.424279877033068
EAA64678.1	0.415315336712685
EAA64740.1	0.435497537155469
EAA64791.1	0.398736067519986
EAA64791.1	0.398736067519986
EAA64795.1	0.453788365688531
EAA64956.1	0.406057268712508
EAA64956.1	0.406057268712508
EAA65885.1	0.393263495712499
EAA65885.1	0.393263495712499
EAA65885.1	0.393263495712499
EAA66220.1	0.459082023904325
EAA66294.1	0.421653681213123
EAA66342.1	0.412502329422787
EAS27855.3	0.507625590620929
EAS28181.3	0.486341968746309
EAS28716.3	0.45715920139195
EAS28980.1	0.485730913466129
EAS29412.3	0.526736657981643
EAS29554.3	0.483648787423279
EAS29762.3	0.48061729654271
EAS30995.1	0.496987728073289
EAS31457.3	0.469330449921145
EAS32623.3	0.49601551701822
EAS33159.3	0.470198514550881
EAS33654.3	0.429283596555203
EAS34489.2	0.477106905860519
EAS34539.1	0.45535733551103
EAS35760.3	0.455135957125665
EAS36680.3	0.472708266072353
EAS37290.3	0.453890348649437
EAS37452.1	0.490839544732923
EAU83482.1	0.380388656784078
EAU84115.2	0.338652997648211
EAU84743.1	0.329496721444981
EAU84867.2	0.332710736157453
EAU84871.2	0.330777467296952
EAU86229.2	0.321002981668822
EAU87124.1	0.339676189474018
EAU87574.2	0.375862190345949
EAU88054.2	0.315336110310617
EAU88101.2	0.302495776042403
EAU88102.1	0.361953886216165
EAU89491.1	0.342248529094113
EAU90489.2	0.312233587142119
EAU90489.2	0.312233587142119
EAU90640.2	0.31136976227385
EAU92568.2	0.301277036650177
EAU92582.2	0.326862684803036
EAU92646.2	0.322106214672003
EAU92917.2	0.331497766511671
EAU93111.2	0.339669308844467
EAU93166.1	0.339137450312992
EAU93605.2	0.336614375689358
EAU93615.2	0.356243529364637
EDN91023.1	0.392658921776693
EDN91032.1	0.383821757792097
EDN94000.1	0.384075499668891
EDN94096.1	0.396765982820566
EDN94201.1	0.385858640958177
EDN94526.1	0.408904231985676
EDN94913.1	0.401061490578501
EDN95135.1	0.396663967607408
EDN95510.1	0.432935304412098
EDN96471.1	0.421682802263447
EDN96626.1	0.373054289808744
EDN97317.1	0.403947629399747
EDN98226.1	0.426143951262089
EDN98408.1	0.380501101453997
EDN98485.1	0.386020823079043
EDN99048.1	0.422808060014551
EDN99316.1	0.380931343678037
EDO00725.1	0.400654391092753
EDO00843.1	0.419679710186664
EDO01555.1	0.402086033800608
EDO02328.1	0.40292147187838
EDO03046.1	0.412290054519276
EDO04079.1	0.418441934535566
EDO64941.2	0.330300047617926
EDP41719.1	0.330453576837986
EDP41787.1	0.32491340970188
EDP41862.1	0.320778851421611
EDP41887.1	0.313130087370938
EDP41933.1	0.328416487397981
EDP42299.1	0.333639768255364
EDP42880.1	0.324280771449844
EDP42880.1	0.324280771449844
EDP42989.1	0.362784606721105
EDP42995.1	0.331805800780496
EDP44176.1	0.357932760615457
EDP44177.1	0.399532423859468
EDP44178.1	0.383747084089579
EDP44296.1	0.355977901724827
EDP44629.1	0.355609566952136
EDP44638.1	0.370907737410967
EDP44949.1	0.399130463707245
EDP45169.1	0.33164981596103
EDP45403.1	0.330458036736481
EEB05348.1	0.118635653950546
EEB06180.1	0.116050915552213
EEB06313.2	0.12138713896927
EEB06548.2	0.127127926053547
EEB06675.1	0.114034886476272
EEB07011.1	0.113273822777703
EEB07017.1	0.113925657473887
EEB07087.1	0.115210476040828
EEB07222.1	0.102438858379437
EEB07239.2	0.124847099064771
EEB07270.2	0.119143648880446
EEB07270.2	0.119143648880446
EEB07341.2	0.115817320217962
EEB07738.2	0.128251368087912
EEB07778.1	0.127194271627316
EEB07894.1	0.115504521769765
EEB08454.1	0.115606734986372
EEB08772.1	0.110809553192625
EEB08783.1	0.120794035283783
EED79703.1	0.231373202889148
EED79712.1	0.230443760433054
EED80874.1	0.22960823133813
EED80883.1	0.236400853175859
EED82159.1	0.240289768204029
EED82772.1	0.242783827242918
EED84307.1	0.233753017546873
EFI26645.1	0.316788877846435
EFI26781.1	0.339806328566296
EFP75281.2	0.0814460720098631
EFP75529.2	0.0727949145354539
EFP75550.1	0.078679730711663
EFP77243.2	0.0866435549288622
EFP78743.1	0.0783444068167595
EFP79605.2	0.076863255703375
EFP79618.2	0.0777538534564073
